iter	Passed	Remaining
0	477	238404
1	854	212784
2	1249	206967
3	1651	204820
4	2057	203685
5	2476	203879
6	2881	202951
7	3287	202187
8	3700	201876
9	4086	200240
10	4500	200088
11	4891	198933
12	5279	197791
13	5677	197074
14	6123	197989
15	6512	197006
16	6900	196055
17	7283	195025
18	7670	194177
19	8041	192994
20	8401	191643
21	8770	190559
22	9144	189641
23	9531	189043
24	9913	188358
25	10308	187924
26	10685	187199
27	11058	186420
28	11454	186032
29	11823	185236
30	12192	184453
31	12557	183658
32	12926	182927
33	13312	182453
34	13668	181595
35	14030	180835
36	14424	180504
37	14805	180002
38	15182	179469
39	15581	179188
40	15976	178854
41	16369	178506
42	16797	178520
43	17199	178251
44	17606	178017
45	17987	177527
46	18389	177241
47	18791	176952
48	19179	176525
49	19602	176418
50	19938	175538
51	20334	175188
52	20736	174893
53	21104	174307
54	21505	174002
55	21916	173765
56	22291	173248
57	22700	172995
58	23107	172715
59	23511	172419
60	23875	171825
61	24250	171317
62	24652	171001
63	25028	170508
64	25412	170068
65	25771	169466
66	26132	168885
67	26477	168210
68	26815	167502
69	27239	167330
70	27603	166788
71	28004	166470
72	28366	165923
73	28772	165634
74	29169	165292
75	29565	164945
76	29954	164553
77	30328	164083
78	30713	163673
79	31126	163412
80	31488	162885
81	31874	162481
82	32289	162227
83	32705	161967
84	33062	161424
85	33457	161064
86	33877	160818
87	34272	160457
88	34664	160078
89	35075	159788
90	35440	159286
91	35810	158812
92	36183	158352
93	36565	157933
94	36940	157484
95	37349	157178
96	37757	156867
97	38147	156482
98	38513	155999
99	38833	155332
100	39225	154958
101	39611	154563
102	40005	154196
103	40415	153888
104	40810	153523
105	41223	153228
106	41624	152883
107	41985	152391
108	42367	151979
109	42760	151605
110	43112	151087
111	43504	150712
112	43876	150266
113	44274	149913
114	44644	149462
115	45030	149066
116	45430	148717
117	45811	148305
118	46211	147953
119	46595	147551
120	47013	147255
121	47426	146942
122	47827	146593
123	48217	146208
124	48637	145913
125	49051	145596
126	49446	145225
127	49853	144885
128	50260	144546
129	50602	144022
130	50942	143495
131	51344	143142
132	51740	142773
133	52139	142410
134	52493	141927
135	52841	141427
136	53189	140933
137	53598	140597
138	53977	140186
139	54340	139733
140	54732	139354
141	55117	138959
142	55497	138549
143	55894	138184
144	56278	137786
145	56669	137404
146	57043	136982
147	57371	136450
148	57761	136069
149	58151	135685
150	58537	135296
151	58946	134955
152	59344	134591
153	59748	134240
154	60138	133857
155	60568	133561
156	60968	133199
157	61320	132730
158	61737	132405
159	62142	132053
160	62526	131655
161	62899	131234
162	63269	130808
163	63658	130422
164	64061	130063
165	64601	129980
166	64988	129587
167	65376	129195
168	65773	128822
169	66186	128479
170	66574	128088
171	66942	127657
172	67336	127277
173	67722	126881
174	68107	126486
175	68510	126122
176	68896	125726
177	69255	125282
178	69843	125249
179	70228	124851
180	70622	124467
181	71015	124081
182	71392	123668
183	71770	123257
184	72125	122808
185	72489	122375
186	72873	121974
187	73252	121567
188	73649	121189
189	74023	120774
190	74390	120348
191	74753	119917
192	75127	119503
193	75524	119126
194	75908	118729
195	76304	118349
196	76695	117962
197	77096	117591
198	77486	117202
199	77892	116838
200	78255	116410
201	78636	116008
202	79027	115622
203	79431	115252
204	79808	114846
205	80201	114462
206	80583	114062
207	80981	113685
208	81361	113282
209	81758	112904
210	82147	112514
211	82552	112147
212	82955	111775
213	83338	111377
214	83722	110980
215	84112	110592
216	84524	110231
217	84924	109856
218	85327	109484
219	85680	109047
220	86075	108665
221	86475	108288
222	86881	107920
223	87281	107543
224	87656	107135
225	88058	106760
226	88444	106366
227	88832	105975
228	89235	105602
229	89582	105162
230	89974	104775
231	90360	104382
232	90757	104001
233	91161	103627
234	91556	103244
235	91970	102882
236	92368	102501
237	92710	102059
238	93089	101658
239	93493	101284
240	93884	100896
241	94282	100516
242	94676	100131
243	95078	99754
244	95473	99370
245	95867	98984
246	96266	98604
247	96670	98229
248	97069	97849
249	97458	97458
250	97847	97067
251	98207	96648
252	98611	96273
253	98960	95843
254	99360	95464
255	99678	95006
256	100000	94552
257	100406	94180
258	100807	93801
259	101209	93424
260	101605	93040
261	102011	92667
262	102407	92283
263	102809	91905
264	103183	91502
265	103588	91126
266	103980	90739
267	104361	90343
268	104748	89951
269	105126	89551
270	105521	89167
271	105931	88795
272	106325	88409
273	106720	88025
274	107130	87652
275	107524	87266
276	107908	86872
277	108288	86474
278	108646	86060
279	109010	85650
280	109406	85267
281	109806	84886
282	110199	84499
283	110614	84129
284	110960	83706
285	111364	83328
286	111763	82946
287	112254	82631
288	112637	82236
289	112992	81822
290	113385	81435
291	113791	81057
292	114189	80673
293	114588	80289
294	114982	79903
295	115378	79517
296	115780	79136
297	116166	78744
298	116546	78347
299	116939	77959
300	117327	77568
301	117733	77189
302	118124	76800
303	118523	76416
304	118918	76029
305	119315	75644
306	119714	75260
307	120104	74870
308	120496	74481
309	120893	74096
310	121229	73673
311	121641	73296
312	122006	72892
313	122400	72504
314	122800	72120
315	123130	71696
316	123502	71296
317	123903	70913
318	124253	70501
319	124641	70110
320	125053	69733
321	125384	69312
322	125745	68907
323	126142	68521
324	126495	68112
325	126851	67706
326	127192	67291
327	127612	66918
328	128019	66539
329	128418	66154
330	128778	65751
331	129170	65363
332	129552	64970
333	129961	64591
334	130349	64201
335	130698	63793
336	131112	63416
337	131491	63022
338	131821	62605
339	132168	62196
340	132513	61787
341	132892	61394
342	133241	60987
343	133647	60607
344	134036	60219
345	134421	59829
346	134770	59423
347	135123	59019
348	135520	58634
349	135927	58254
350	136280	57851
351	136689	57471
352	137055	57073
353	137464	56694
354	137802	56285
355	138186	55895
356	138566	55504
357	138979	55126
358	139382	54743
359	139792	54363
360	140184	53976
361	140586	53593
362	140994	53212
363	141359	52815
364	141719	52416
365	142108	52028
366	142461	51627
367	142805	51223
368	143182	50831
369	143536	50431
370	143941	50049
371	144337	49664
372	144738	49280
373	145110	48887
374	145461	48487
375	145871	48106
376	146221	47706
377	146618	47321
378	147022	46938
379	147427	46556
380	147794	46161
381	148200	45779
382	148602	45395
383	148993	45008
384	149354	44612
385	149744	44225
386	150110	43830
387	150518	43448
388	150933	43068
389	151320	42680
390	151669	42281
391	152087	41901
392	152494	41518
393	152882	41130
394	153243	40735
395	153646	40351
396	154032	39963
397	154438	39579
398	154835	39193
399	155228	38807
400	155614	38418
401	156018	38034
402	156424	37650
403	156823	37265
404	157186	36870
405	157567	36481
406	157963	36094
407	158299	35694
408	158683	35306
409	159070	34917
410	159410	34519
411	159806	34133
412	160210	33748
413	160569	33355
414	160957	32967
415	161339	32578
416	161721	32189
417	162115	31802
418	162513	31416
419	162892	31027
420	163292	30641
421	163686	30254
422	164037	29860
423	164411	29470
424	164801	29082
425	165144	28687
426	165540	28300
427	165866	27902
428	166202	27506
429	166583	27118
430	166932	26724
431	167293	26333
432	167680	25945
433	168068	25558
434	168412	25165
435	168784	24775
436	169170	24388
437	169523	23996
438	169891	23606
439	170265	23218
440	170666	22832
441	171064	22447
442	171470	22062
443	171855	21675
444	172216	21285
445	172613	20899
446	172983	20510
447	173382	20124
448	173768	19737
449	174154	19350
450	174532	18962
451	174927	18576
452	175316	18189
453	175675	17799
454	176072	17413
455	176471	17027
456	176882	16643
457	177263	16255
458	177620	15865
459	177991	15477
460	178330	15086
461	178721	14700
462	179079	14310
463	179462	13923
464	179817	13534
465	180182	13146
466	180551	12758
467	180963	12373
468	181365	11987
469	181687	11597
470	182085	11211
471	182474	10824
472	182856	10437
473	183209	10049
474	183592	9662
475	183924	9273
476	184325	8887
477	184685	8500
